,comment,likes,label,score
29,"White is not bad.  Black is not bad.  Japenese are not bad.  Just like U.S.A is not bad.  We think different thoughts.  Though they can be the same.  We can both hold hands without having heart attacks.  Sometimes,  Blacks do bad things.  Just like whites.  No race is worse than the other.  Unless you make it that way.  We are all the same.  With different looks,  personalitys,  and traits.",10,neutral,0.505498468875885
30,Wow.....if only we ALL believed!,2,positive,0.6393782496452332
31,Maya Angelou was really an undercover rapper.,33,neutral,0.7337205410003662
32,came here to make myself cry.,2,negative,0.684331476688385
33,Anyone know the name of the piano song in the background?,7,neutral,0.9473809003829956
34,a commercial for a commercail.ive seen it all.,1,negative,0.6817327737808228
35,Somehow I knew that when I scrolled down I would see negative comments about this video...its pretty sad.,15,negative,0.9234803318977356
36,who is performing the voice over in the commercial?  she sounds like Maya Angelou but i think she passed  away a few years bank.,1,neutral,0.7942163944244385
37,ITS TRUE ITS TRUE MY FRIENDS,1,positive,0.9463328719139099
38,"If this was for a different phone, there would be no such thing as hate. I don't understand why iPhone sucks I mean all phones suck to me.",1,negative,0.8771638870239258
39,Hell YA!!!!,1,positive,0.8608053922653198
40,workers of the world unite,1,neutral,0.5962597727775574
41,There's an ad before I can watch an ad smh,2,negative,0.7758527994155884
42,Lol am I the only one that heard his voice and thought of Edna Mode from The Incredibles ,2,neutral,0.6687544584274292
43,R.I.P maya,1,neutral,0.6884900331497192
44,Why did apple take it down,1,negative,0.5682054758071899
45,0:24 ,1,neutral,0.9041556715965271
46,"well not at all convincing enough for me to buy an iPhone, I buy an iPhone because I want, not because apple wants me to....",1,negative,0.58868008852005
47,Does anyone know what the background music is?,1,neutral,0.9459860324859619
48,Song anyone?,1,neutral,0.8881374001502991
49,yo who is Jorge s. she has a beautiful smile,4,positive,0.9340980648994446
50,i love this ad so much but hate apple aha,2,negative,0.602026104927063
51,why did she have to die man,2,negative,0.9067325592041016
52,AYA SATO AAAAA,1,positive,0.6912971138954163
53,Its very Sad that certain individuals in these comments overlook the Beauty and the Overall Message of this,1,negative,0.8510249257087708
54,"it's actually pretty stupid how apple can afford to do such mistakes. of all the included people in this video, peasants and farmers are least likely to buy the ""extremely overhyped and over expensive"" iphones. What a stroke of absolute ""lunatic move"" by apple.",1,negative,0.9238697290420532
55,first pic who is the model,1,neutral,0.8731518983840942
56,"Narration by Cleveland Brown :)
Thank me later",2,neutral,0.6862523555755615
57,Who is the girl in the picture by Jorge S. D:,2,neutral,0.9083961844444275
58,Cute girls in here,1,positive,0.9474040269851685
59,"Wow, I was the only person who didn't give a shit on how there were no white people.",3,negative,0.7087552547454834
60,The reason Apple used the pics of Monk and Farmer from India - because Apple could not afford to pay for Photographs of Scientist of India who sent the rocket to mars in the first attempt at 1/10th the budget of NASA.,8,neutral,0.696736752986908
61,Sigh.  I'm gonna throw up.,1,negative,0.9080075025558472
62,Who gives a crap if it's shot on a phone? This Apple bollocks is not important. It could be shot on a fifty year old camera or an instant polaroid. Apple need to sod off and stop being pathetic.,1,negative,0.8900747895240784
63,I hate the voice in this ad!,1,negative,0.9478354454040527
64,Forgetful,1,neutral,0.5524137020111084
65,"this is some POZ'd Diversirty  globalist propaganda,,,, WE ARE NOT ALL THE SAME,,, NOT EVEN CLOSE.",1,negative,0.9011384844779968
66,Powerful,4,positive,0.7304397821426392
